PREMIER
1, LEIGHTON BUZZARD VAN HIRE,FRIDAY
2, GREENLEYS WARRIORS,TUESDAY
3, GREENLEYS MONARCHS,WEDNESDAY
4, MK SPINNERS,WEDNESDAY
5, MK SASAKI,TUESDAY
6, MK TOPSPIN,WEDNESDAY
7, GREENLEYS KINGS,WEDNESDAY
8, MK PHOENIX,WEDNESDAY
DIVISION 1
1, MK POWERS,TUESDAY
2, OU PRIMES,THURSDAY
3, MK PIONEERS,TUESDAY
4, WS MOSQUITOES,WEDNESDAY
5, LEIGHTON BUZZARD AVENGERS,FRIDAY
6, MK PUMAS,WEDNESDAY
7, GREENLEYS GLORY,WEDNESDAY
8, MK SHARKS,TUESDAY
DIVISION 2
1, NP LAGONDAS,MONDAY
2, CHACKMORE HASBEENS,WEDNESDAY
3, GREENLEYS PRINCES,WEDNESDAY
4, LEIGHTON BUZZARD SPITFIRES,FRIDAY
5, L HORWOOD WOODEN TOPS,MONDAY
6, OU SHOCKWAVE,THURSDAY
7, MURSLEY HAWKS,MONDAY
8, MK BLADES,WEDNESDAY
DIVISION 3
1, NP VANQUISH,MONDAY
2, GREENLEYS MOGHULS,TUESDAY
3, MURSLEY SWALLOWS,MONDAY
4, MK CAVALIERS,WEDNESDAY
5, MK SHAMBLES,TUESDAY
6, GREENLEYS VALIANTS,TUESDAY
7, GREENLEYS SULTANS OF SPIN,WEDNESDAY
8, WOBURN SANDS WOLVES,WEDNESDAY
DIVISION 4
1, MK MUSKETEERS,TUESDAY
2, GREENLEYS DUKES,TUESDAY
3, MURSLEY STRIKERS,MONDAY
4, MK ACES,TUESDAY
5, spare
6, CHACKMORE WANNABES,WEDNESDAY
7, PADBURY NIGHT OWLS,MONDAY
8, LEIGHTON BUZZARD BUZZARDS,FRIDAY
DIVISION 5
1, MURSLEY SWANS,MONDAY
2, MK RIO BRAVOS,WEDNESDAY
3, GREENLEYS ZAINABIYA,WEDNESDAY
4, WOBURN SANDS ONE LOVE,WEDNESDAY
5, GREAT BRICKHILL TEAM GB,THURSDAY
6, L HORWOOD DESTROYERS,TUESDAY
7, MURSLEY MAGPIES,MONDAY
8, spare
DIVISION 6
1, NP VOLANTE,MONDAY
2, MK ROCKETS,WEDNESDAY
3, PADBURY OTTERS,MONDAY
4, LEIGHTON BUZZARD CRUNCHERS,FRIDAY
5, spare
6, GREENLEYS CRUSADERS,TUESDAY
7, OU NEWCOMERS,THURSDAY
8, LEIGHTON BUZZARD RAIDERS,FRIDAY
DIVISION 7
1, NP VANTAGE,MONDAY
2, L HORWOOD FRIGATES,TUESDAY
3, LEIGHTON BUZZARD GLOBETROTTERS,FRIDAY
4, spare
5, MURSLEY MERLINS,MONDAY
6, GREENLEYS SOVEREIGNS,TUESDAY
7, LEIGHTON BUZZARD GALAXY,FRIDAY
8, WOBURN SANDS HIT N MISS,WEDNESDAY
